id,countrycode,countryname,subcountry_level1,time_dump,amount_dump
61,AFG,Afghanistan,Badakhshan,2015-01-01,0
10,AFG,Afghanistan,Badghis,2015-01-01,0
3,AFG,Afghanistan,Baghlan,2015-01-01,0
2,AFG,Afghanistan,Balkh,2015-01-01,0
38,AFG,Afghanistan,Bamyan,2015-01-01,0
112,AFG,Afghanistan,Farah,2015-01-01,0
4,AFG,Afghanistan,Faryab,2015-01-01,0
32,AFG,Afghanistan,Ghazni,2015-01-01,0
31,AFG,Afghanistan,Ghor,2015-01-01,0
207,AFG,Afghanistan,Hilmand,2015-01-01,0
11,AFG,Afghanistan,Hirat,2015-01-01,0
1,AFG,Afghanistan,Jawzjan,2015-01-01,0
74,AFG,Afghanistan,Kabul,2015-01-01,0
116,AFG,Afghanistan,Kandahar,2015-01-01,0
54,AFG,Afghanistan,Kapisa,2015-01-01,0
90,AFG,Afghanistan,Khost,2015-01-01,0
35,AFG,Afghanistan,Kunar,2015-01-01,0
119,AFG,Afghanistan,Kunduz,2015-01-01,0
51,AFG,Afghanistan,Laghman,2015-01-01,0
146,AFG,Afghanistan,Logar,2015-01-01,0
12,AFG,Afghanistan,Nangarhar,2015-01-01,0
233,AFG,Afghanistan,Nimroz,2015-01-01,0
9,AFG,Afghanistan,Nuristan,2015-01-01,0
14,AFG,Afghanistan,Paktika,2015-01-01,0
156,AFG,Afghanistan,Paktya,2015-01-01,0
19,AFG,Afghanistan,Parwan,2015-01-01,0
22,AFG,Afghanistan,Samangan,2015-01-01,0
6,AFG,Afghanistan,Sari Pul,2015-01-01,0
106,AFG,Afghanistan,Takhar,2015-01-01,0
13,AFG,Afghanistan,Uruzgan,2015-01-01,0
78,AFG,Afghanistan,Wardak,2015-01-01,0
108,AFG,Afghanistan,Zabul,2015-01-01,0
394,ALB,Albania,Berat,2015-01-01,0
348,ALB,Albania,Dib?r,2015-01-01,0
345,ALB,Albania,Durr?s,2015-01-01,0
483,ALB,Albania,Elbasan,2015-01-01,0
392,ALB,Albania,Fier,2015-01-01,0
462,ALB,Albania,Gjirokast?r,2015-01-01,0
346,ALB,Albania,Kor??,2015-01-01,0
353,ALB,Albania,Kuk?s,2015-01-01,0
365,ALB,Albania,Lezh?,2015-01-01,0
352,ALB,Albania,Shkod?r,2015-01-01,0
347,ALB,Albania,Tiran?,2015-01-01,0
537,ALB,Albania,Vlor?,2015-01-01,0
2027,DZA,Algeria,Adrar,2015-01-01,0
977,DZA,Algeria,Alger,2015-01-01,0
733,DZA,Algeria,A?n Defla,2015-01-01,0
821,DZA,Algeria,A?n T?mouchent,2015-01-01,0
908,DZA,Algeria,Annaba,2015-01-01,0
758,DZA,Algeria,Batna,2015-01-01,0
728,DZA,Algeria,B?char,2015-01-01,0
964,DZA,Algeria,Biskra,2015-01-01,0
793,DZA,Algeria,B?ja?a,2015-01-01,0
832,DZA,Algeria,Blida,2015-01-01,0
742,DZA,Algeria,Bordj Bou Arr?ridj,2015-01-01,0
732,DZA,Algeria,Bouira,2015-01-01,0
946,DZA,Algeria,Boumerd?s,2015-01-01,0
734,DZA,Algeria,Chlef,2015-01-01,0
786,DZA,Algeria,Constantine,2015-01-01,0
769,DZA,Algeria,Djelfa,2015-01-01,0
727,DZA,Algeria,El Bayadh,2015-01-01,0
1063,DZA,Algeria,El Oued,2015-01-01,0
905,DZA,Algeria,El Tarf,2015-01-01,0
729,DZA,Algeria,Gharda?a,2015-01-01,0
736,DZA,Algeria,Guelma,2015-01-01,0
2182,DZA,Algeria,Illizi,2015-01-01,0
901,DZA,Algeria,Jijel,2015-01-01,0
759,DZA,Algeria,Khenchela,2015-01-01,0
1060,DZA,Algeria,Laghouat,2015-01-01,0
750,DZA,Algeria,M'Sila,2015-01-01,0
764,DZA,Algeria,Mascara,2015-01-01,0
743,DZA,Algeria,M?d?a,2015-01-01,0
777,DZA,Algeria,Mila,2015-01-01,0
754,DZA,Algeria,Mostaganem,2015-01-01,0
1061,DZA,Algeria,Na?ma,2015-01-01,0
844,DZA,Algeria,Oran,2015-01-01,0
2030,DZA,Algeria,Ouargla,2015-01-01,0
741,DZA,Algeria,Oum el Bouaghi,2015-01-01,0
748,DZA,Algeria,Relizane,2015-01-01,0
723,DZA,Algeria,Sa?da,2015-01-01,0
771,DZA,Algeria,Sidi Bel Abb?s,2015-01-01,0
781,DZA,Algeria,Skikda,2015-01-01,0
873,DZA,Algeria,Souk Ahras,2015-01-01,0
735,DZA,Algeria,S?tif,2015-01-01,0
2188,DZA,Algeria,Tamanghasset,2015-01-01,0
749,DZA,Algeria,T?bessa,2015-01-01,0
725,DZA,Algeria,Tiaret,2015-01-01,0
2191,DZA,Algeria,Tindouf,2015-01-01,0
779,DZA,Algeria,Tipaza,2015-01-01,0
751,DZA,Algeria,Tissemsilt,2015-01-01,0
778,DZA,Algeria,Tizi Ouzou,2015-01-01,0
724,DZA,Algeria,Tlemcen,2015-01-01,0
2227,ASM,American Samoa,Eastern,2015-01-01,0
2237,ASM,American Samoa,Manu'a,2015-01-01,0
2235,ASM,American Samoa,Unorganized,2015-01-01,0
2267,ASM,American Samoa,Western,2015-01-01,0
2306,AND,Andorra,Andorra la Vella,2015-01-01,0
2303,AND,Andorra,Canillo,2015-01-01,0
2305,AND,Andorra,Encamp,2015-01-01,0
2301,AND,Andorra,Escaldes-Engordany,2015-01-01,0
2304,AND,Andorra,La Massana,2015-01-01,0
2302,AND,Andorra,Ordino,2015-01-01,0
2307,AND,Andorra,Sant Juli? de L?ria,2015-01-01,0
2346,AGO,Angola,Bengo,2015-01-01,0
2334,AGO,Angola,Benguela,2015-01-01,0
2319,AGO,Angola,Bi?,2015-01-01,0
2316,AGO,Angola,Cabinda,2015-01-01,0
2312,AGO,Angola,Cuando Cubango,2015-01-01,0
2362,AGO,Angola,Cuanza Norte,2015-01-01,0
2320,AGO,Angola,Cuanza Sul,2015-01-01,0
2311,AGO,Angola,Cunene,2015-01-01,0
2333,AGO,Angola,Huambo,2015-01-01,0
2314,AGO,Angola,Hu?la,2015-01-01,0
2308,AGO,Angola,Luanda,2015-01-01,0
2351,AGO,Angola,Lunda Norte,2015-01-01,0
2574,AGO,Angola,Lunda Sul,2015-01-01,0
2392,AGO,Angola,Malanje,2015-01-01,0
2325,AGO,Angola,Moxico,2015-01-01,0
2310,AGO,Angola,Namibe,2015-01-01,0
2309,AGO,Angola,U?ge,2015-01-01,0
2321,AGO,Angola,Zaire,2015-01-01,0
2835,AIA,Anguilla,,2015-01-01,0
2836,ATA,Antarctica,,2015-01-01,0
2837,ATG,Antigua and Barbuda,Barbuda,2015-01-01,0
2844,ATG,Antigua and Barbuda,Redonda,2015-01-01,0
2839,ATG,Antigua and Barbuda,Saint George,2015-01-01,0
2838,ATG,Antigua and Barbuda,Saint John,2015-01-01,0
2841,ATG,Antigua and Barbuda,Saint Mary,2015-01-01,0
2842,ATG,Antigua and Barbuda,Saint Paul,2015-01-01,0
2840,ATG,Antigua and Barbuda,Saint Peter,2015-01-01,0
2843,ATG,Antigua and Barbuda,Saint Philip,2015-01-01,0
2856,ARG,Argentina,Buenos Aires,2015-01-01,0
2850,ARG,Argentina,Catamarca,2015-01-01,0
2845,ARG,Argentina,Chaco,2015-01-01,0
3173,ARG,Argentina,Chubut,2015-01-01,0
3195,ARG,Argentina,Ciudad de Buenos Aires,2015-01-01,0
2852,ARG,Argentina,Corrientes,2015-01-01,0
2870,ARG,Argentina,C?rdoba,2015-01-01,0
2973,ARG,Argentina,Entre R?os,2015-01-01,0
2876,ARG,Argentina,Formosa,2015-01-01,0
2871,ARG,Argentina,Jujuy,2015-01-01,0
2854,ARG,Argentina,La Pampa,2015-01-01,0
2849,ARG,Argentina,La Rioja,2015-01-01,0
3106,ARG,Argentina,Mendoza,2015-01-01,0
2848,ARG,Argentina,Misiones,2015-01-01,0
2855,ARG,Argentina,Neuqu?n,2015-01-01,0
3120,ARG,Argentina,R?o Negro,2015-01-01,0
2872,ARG,Argentina,Salta,2015-01-01,0
2853,ARG,Argentina,San Juan,2015-01-01,0
3102,ARG,Argentina,San Luis,2015-01-01,0
3093,ARG,Argentina,Santa Cruz,2015-01-01,0
2989,ARG,Argentina,Santa Fe,2015-01-01,0
2846,ARG,Argentina,Santiago del Estero,2015-01-01,0
3098,ARG,Argentina,Tierra del Fuego,2015-01-01,0
2864,ARG,Argentina,Tucum?n,2015-01-01,0
3353,ARM,Armenia,Aragatsotn,2015-01-01,0
3357,ARM,Armenia,Ararat,2015-01-01,0
3355,ARM,Armenia,Armavir,2015-01-01,0
3356,ARM,Armenia,Erevan,2015-01-01,0
3351,ARM,Armenia,Gegharkunik,2015-01-01,0
3352,ARM,Armenia,Kotayk,2015-01-01,0
3354,ARM,Armenia,Lake Sevan,2015-01-01,0
3349,ARM,Armenia,Lori,2015-01-01,0
3350,ARM,Armenia,Shirak,2015-01-01,0
3359,ARM,Armenia,Syunik,2015-01-01,0
3348,ARM,Armenia,Tavush,2015-01-01,0
3358,ARM,Armenia,Vayots Dzor,2015-01-01,0
3360,ABW,Aruba,,2015-01-01,0
3670,AUS,Australia,Ashmore and Cartier Islands,2015-01-01,0
3363,AUS,Australia,Australian Capital Territory,2015-01-01,0
3751,AUS,Australia,Coral Sea Islands,2015-01-01,0
3361,AUS,Australia,New South Wales,2015-01-01,0
3365,AUS,Australia,Northern Territory,2015-01-01,0
3379,AUS,Australia,Queensland,2015-01-01,0
3362,AUS,Australia,South Australia,2015-01-01,0
3517,AUS,Australia,Tasmania,2015-01-01,0
3648,AUS,Australia,Unknown1,2015-01-01,0
3446,AUS,Australia,Victoria,2015-01-01,0
3392,AUS,Australia,Western Australia,2015-01-01,0
4784,AUT,Austria,Burgenland,2015-01-01,0
4835,AUT,Austria,K?rnten,2015-01-01,0
4757,AUT,Austria,Nieder?sterreich,2015-01-01,0
4761,AUT,Austria,Ober?sterreich,2015-01-01,0
4765,AUT,Austria,Salzburg,2015-01-01,0
4772,AUT,Austria,Steiermark,2015-01-01,0
4771,AUT,Austria,Tirol,2015-01-01,0
4851,AUT,Austria,Vorarlberg,2015-01-01,0
4795,AUT,Austria,Wien,2015-01-01,0
4904,AZE,Azerbaijan,?li Bayramli,2015-01-01,0
4888,AZE,Azerbaijan,Abseron,2015-01-01,0
4896,AZE,Azerbaijan,Agcab?di,2015-01-01,0
4897,AZE,Azerbaijan,Agdam,2015-01-01,0
4883,AZE,Azerbaijan,Agdas,2015-01-01,0
4863,AZE,Azerbaijan,Agstafa,2015-01-01,0
4882,AZE,Azerbaijan,Agsu,2015-01-01,0
4913,AZE,Azerbaijan,Astara,2015-01-01,0
4890,AZE,Azerbaijan,B?rd?,2015-01-01,0
4919,AZE,Azerbaijan,Bab?k,2015-01-01,0
4889,AZE,Azerbaijan,Baki,2015-01-01,0
4856,AZE,Azerbaijan,Balak?n,2015-01-01,0
4900,AZE,Azerbaijan,Beyl?qan,2015-01-01,0
4918,AZE,Azerbaijan,Bil?suvar,2015-01-01,0
4924,AZE,Azerbaijan,C?brayil,2015-01-01,0
4925,AZE,Azerbaijan,C?lilabad,2015-01-01,0
4921,AZE,Azerbaijan,Culfa,2015-01-01,0
4864,AZE,Azerbaijan,D?v??i,2015-01-01,0
4887,AZE,Azerbaijan,Dask?s?n,2015-01-01,0
4916,AZE,Azerbaijan,F?zuli,2015-01-01,0
4881,AZE,Azerbaijan,G?d?b?y,2015-01-01,0
4885,AZE,Azerbaijan,G?nc?,2015-01-01,0
4876,AZE,Azerbaijan,Goranboy,2015-01-01,0
4886,AZE,Azerbaijan,G?y?ay,2015-01-01,0
4894,AZE,Azerbaijan,Haciqabul,2015-01-01,0
4899,AZE,Azerbaijan,Imisli,2015-01-01,0
4870,AZE,Azerbaijan,Ismayilli,2015-01-01,0
4895,AZE,Azerbaijan,K?lb?c?r,2015-01-01,0
4892,AZE,Azerbaijan,K?rd?mir,2015-01-01,0
