"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Arab World","ARB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.4606902194458","83.763042763326","83.7311583831666","82.1474587815421","82.1399047579205","82.2523172329469","82.2579188152702","82.2411351392708","82.269646842588","82.2776576157303","82.2848814840394","82.3081701572401","82.8978472807438","82.9288611191588","82.9722247267263","83.0195623216339","83.087769881151","83.133744208697","83.1658917334279","83.3190103620928","83.4695739377942","83.6410002093998","85.2818737092134","","",
"Caribbean small states","CSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8122130633183","89.9436212631661","90.2031157413313","90.7542142201479","90.7377767370565","91.0165359782735","91.2332579048544","91.4620130216808","91.7027161775826","91.9675907963001","92.2410305408793","92.5107333178467","92.7812668975931","93.0138099782406","93.2613988985487","93.5132278558999","93.7756995132685","93.9854801119364","94.1999072946508","94.4318329391811","94.6158730624866","94.8450470121496","95.2639824421029","","",
"Central Europe and the Baltics","CEB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific (all income levels)","EAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.9061720871178","72.4657697515281","73.5183129513161","74.5914844448648","75.5470099590727","76.6399824695955","77.6946401620624","78.7633843168228","79.8160509131721","80.8662323739035","81.861298171862","82.9220432532695","83.9641352700407","84.9451685321156","85.9246325308643","86.8895387157783","87.7927227632684","88.697845138026","89.5294906212805","90.340182062044","91.1325917837363","91.4267752064791","91.7102225244794","","",
"East Asia & Pacific (developing only)","EAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.2197707315198","69.4884517942212","70.6841047938627","71.8970276972441","72.9836443493954","74.2109755952794","75.3856200909044","76.57501464376","77.7453734095435","78.9114830857279","80.0158848119371","81.1867926159955","82.3388194926221","83.4198997619856","84.5018779114863","85.5665446418056","86.5572842356368","87.5520612854692","88.4626641219775","89.3634613413397","90.2439513433043","90.5709459145676","90.8884621123117","","",
"Euro area","EMU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5724966972115","99.5941268246062","99.6153114843466","99.6343606244444","99.6564363940075","99.6784301782598","99.6972324754034","99.7156872768167","99.736450231724","99.7583395646648","99.7733048216694","99.7955797456767","99.8179080244038","99.8386219669135","99.8508895385687","99.8632692961183","99.8721028143163","99.8852927484821","99.8947943177947","99.9059257800278","99.9142357375907","99.9255391264213","99.9336753000832","","",
"Europe & Central Asia (all income levels)","ECS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.4987299746059","95.5654474570805","95.6619056426356","95.5155114673995","95.6600570915312","95.7839930288477","95.9159774542342","96.042284145114","96.185235573999","96.3223526489745","96.4602861171028","96.6077868354127","96.7555846548198","96.8854838156169","97.0213411283154","97.1311917821433","97.2392489387015","97.3557680385795","97.4639242199658","97.8199668666152","97.8936104999679","97.8963002183672","97.9085920239734","","",
"Europe & Central Asia (developing only)","ECA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.7312340636497","87.9141971460251","88.412888822671","87.8614685153347","89.9973871163149","90.2422671341958","90.5277191722438","90.7942375406287","91.1152772074802","91.410294117734","91.715376843312","92.0299410638322","92.3428858438148","92.6632942948971","92.9590933529458","93.1746343181085","93.3926972953118","93.6283631077194","93.847892771175","94.6290029335896","94.7660171711268","94.7756128234744","94.828386713914","","",
"European Union","EUU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.2685091068174","98.3629351769795","98.4514157326338","98.5245020523059","98.5948342591516","98.6607636319308","98.7317917510904","98.7967344927021","98.869564359436","98.933661986292","99.0021625390273","99.0770856277685","99.1585649079696","99.2327572168119","99.2885132102542","99.3035188212136","99.3156895610583","99.3358782718949","99.3525657411401","99.9010719001021","99.9075410534064","99.9166516870956","99.9238772870794","","",
"Fragile and conflict affected situations","FCS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.8485935106893","56.5325653162562","56.474792766433","55.5324498872996","55.7181272596899","55.9564561594726","56.4884593010408","57.0599228124841","57.6484144799268","58.2473374499858","58.8627763026581","59.4057424112405","60.0244114010046","60.5597815560769","61.09745400559","61.6584576203946","62.2326458810791","62.818479121693","63.3949548077138","64.0870214667958","64.7185780402945","65.1783599634939","66.7335054695862","","",
